,Unnamed: 0,osn,candidate,party,evm_votes,postal_votes,total_votes,percentage_votes,contituencty
2965,Nautan,Chanpatia,Ashok Kumar Keshri,Rashtra Sewa Dal,Baikunthpur,0,Baikunthpur,0.07,Kumhrar
2966,Chanpatia,Bettiah,Uttam Kumar,Janta Dal Rashtravadi,254,0,254,0.17,Kumhrar
2967,Bettiah,Sikta,Kumar Raunak,The Plurals Party,1244,Bagaha,1248,0.83,Kumhrar
2968,Sikta,Raxaul,Krishna Nandan Saw,Sarv Jan Party (Bharat),Barhara,0,Barhara,0.13,Kumhrar
2969,Raxaul,Sugauli,Tapendra Narayan,Jantantrik Lokhit Party,327,0,327,0.22,Kumhrar
2970,Sugauli,Narkatia,Purushottam Kumar,Bharatiya Jan Kranti Dal (Democratic),Katoria,0,Katoria,0.11,Kumhrar
2971,Narkatia,Harsidhi (S.C),Prem Shanker Prasad,"Proutist Bloc, India",Gurua,0,Gurua,0.15,Kumhrar
2972,Harsidhi (S.C),Govindganj,Fazal Ahmad,Janata Dal  (Secular),314,0,314,0.21,Kumhrar
2973,Govindganj,Kesaria,Brajeshwar Prasad Singh,Sanyukt Kisan Vikas Party,525,0,525,0.35,Kumhrar
2974,Kesaria,Kalyanpur,"Rajesh Ranjan ""Pappu""",Jan Adhikar Party (Loktantrik),4324,Sikta,4333,2.87,Kumhrar
2975,Kalyanpur,Pipra,Vikash Kumar,Jan Sangharsh Virat Party,566,0,566,0.38,Kumhrar
2976,Pipra,Madhuban,Sharad,Bhartiya Sablog Party,777,Ramnagar,779,0.52,Kumhrar
2977,Madhuban,Motihari,Suryakar Jitendra,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Arrah,0,Arrah,0.13,Kumhrar
2978,Motihari,Chiraiya,Amit Kumar,Independent,334,0,334,0.22,Kumhrar
2979,Chiraiya,Dhaka,Khurshid Alam,Independent,Madhepura,0,Madhepura,0.05,Kumhrar
2980,Dhaka,Sheohar,Binod Kumar Pathak,Independent,1255,Lauriya,1260,0.84,Kumhrar
2981,Sheohar,Riga,Madhumesh Choudhary,Independent,489,0,489,0.32,Kumhrar
2982,Riga,Bathnaha,Shatrudhan Prasad,Independent,289,0,289,0.19,Kumhrar
2983,Bathnaha,Parihar,NOTA,None of the Above,1553,Lauriya,1558,1.03,Kumhrar
2984,0,Valmikinagar,JAGDEEP PRASAD VERMA,Rashtriya Lok Samta Party,1190,Ramnagar,1192,0.63,Patna Sahib
2985,Valmikinagar,Ramnagar,NAND KISHORE  YADAV,Bharatiya Janata Party,97582,Barharia,97692,51.91,Patna Sahib
2986,Ramnagar,Narkatiaganj,PRAVIN SINGH,Indian National Congress,79301,Bochaha,79392,42.19,Patna Sahib
2987,Narkatiaganj,Bagaha,CHANDRA SHEKHAR DAS,Bahujan Mukti Party,802,Ramnagar,804,0.43,Patna Sahib
2988,Bagaha,Lauriya,MD. MAHAMUD KURAISHI,Jan Adhikar Party (Loktantrik),979,Lauriya,984,0.52,Patna Sahib
2989,Lauriya,Nautan,YOGESH KUMAR SHUKLA,Bhartiya Sablog Party,284,0,284,0.15,Patna Sahib
2990,Nautan,Chanpatia,VIKASH KUMAR CHOUDHARY,Aapki Apni Adhikar Party,253,0,253,0.13,Patna Sahib
2991,Chanpatia,Bettiah,Shiva Nandan  Tiwari,Prabal Bharat Party,464,0,464,0.25,Patna Sahib
2992,Bettiah,Sikta,AMIT KUMAR ALBELA,Independent,447,0,447,0.24,Patna Sahib
2993,Sikta,Raxaul,DAYA SINGH,Independent,1031,0,1031,0.55,Patna Sahib
2994,Raxaul,Sugauli,MITHILESH KUMAR ROY,Independent,1264,0,1264,0.67,Patna Sahib
2995,Sugauli,Narkatia,RAM NATH MAHTO,Independent,1147,Valmikinagar,1148,0.61,Patna Sahib
2996,Narkatia,Harsidhi (S.C),NOTA,None of the Above,3230,Bagaha,3234,1.72,Patna Sahib
2997,0,Valmikinagar,Dr. Ramanand Yadav,Rashtriya Janata Dal,85634,Morwa,85769,50.87,Fatuha
2998,Valmikinagar,Ramnagar,SATYENDRA KUMAR SINGH,Bharatiya Janata Party,66227,Biharsharif,66399,39.38,Fatuha
2999,Ramnagar,Narkatiaganj,SUNIL KUMAR,Bahujan Samaj Party,1415,Ramnagar,1417,0.84,Fatuha
3000,Narkatiaganj,Bagaha,Ajeet Kumar Singh,The Plurals Party,607,Narkatiaganj,610,0.36,Fatuha
3001,Bagaha,Lauriya,Gajendra Kumar Father- Suryakant Prasad Sinha,Sankhyanupati Bhagidari Party,Nokha,Valmikinagar,Dehri,0.13,Fatuha
3002,Lauriya,Nautan,DEENANATH PASWAN,Peoples Party of India (Democratic),253,0,253,0.15,Fatuha
3003,Nautan,Chanpatia,DHARMENDRA SINGH,Bharatiya Momin Front,Jagdishpur,0,Jagdishpur,0.12,Fatuha
3004,Chanpatia,Bettiah,RAJKISHORE PRASAD,Bahujan Mukti Party,326,0,326,0.19,Fatuha
3005,Bettiah,Sikta,Vinay Kumar,Bhartiya Panchyat Party,Belaganj,0,Belaganj,0.14,Fatuha
3006,Sikta,Raxaul,VINAY SINGH,Sanyukt Kisan Vikas Party,275,0,275,0.16,Fatuha
3007,Raxaul,Sugauli,Shyam Karan Mistry,Swabhiman Party,545,Ramnagar,547,0.32,Fatuha
3008,Sugauli,Narkatia,Sachchidanand Singh,Jan Adhikar Party,1077,0,1077,0.64,Fatuha
3009,Narkatia,Harsidhi (S.C),Ajit Kumar,Independent,411,0,411,0.24,Fatuha
3010,Harsidhi (S.C),Govindganj,Gajendra Kumar Father- Ganesh Ray,Independent,618,0,618,0.37,Fatuha
3011,Govindganj,Kesaria,DHIRENDRA KUMAR,Independent,1572,0,1572,0.93,Fatuha
3012,Kesaria,Kalyanpur,Rakesh Sharma,Independent,2819,0,2819,1.67,Fatuha
3013,Kalyanpur,Pipra,Shakti Paswan,Independent,2374,0,2374,1.41,Fatuha
3014,Pipra,Madhuban,SANJEET KUMAR,Independent,1308,Ramnagar,1310,0.78,Fatuha
3015,Madhuban,Motihari,SUDHIR KUMAR YADAV,Independent,1417,Narkatiaganj,1420,0.84,Fatuha
3016,Motihari,Chiraiya,NOTA,None of the Above,757,Lauriya,762,0.45,Fatuha
3017,0,Valmikinagar,Asha Devi,Bharatiya Janata Party,73720,251,73971,39.86,Danapur
3018,Valmikinagar,Ramnagar,Deepak Kumar,Rashtriya Lok Samta Party,7716,Kesaria,7731,4.17,Danapur
3019,Ramnagar,Narkatiaganj,Manoj Kumar Sinha,Nationalist Congress Party,633,Bagaha,637,0.34,Danapur
3020,Narkatiaganj,Bagaha,Rit lal Ray,Rashtriya Janata Dal,89725,Barbigha,89895,48.44,Danapur
3021,Bagaha,Lauriya,Amar Nath Ray,The Plurals Party,1444,Lauriya,1449,0.78,Danapur
3022,Lauriya,Nautan,AMRENDRA KUMAR ANAND,Loktantrik Sarvjan Samaj Party,457,Ramnagar,459,0.25,Danapur
3023,Nautan,Chanpatia,RAGHUVIR MAHTO,Rashtriya Jansambhavna Party,382,Valmikinagar,383,0.21,Danapur
3024,Chanpatia,Bettiah,Rakesh Kumar Ranjan,Jawan Kisan Morcha,428,Valmikinagar,429,0.23,Danapur
3025,Bettiah,Sikta,Vijay Shanker Mishra,Bharatiya Jan Kranti Dal (Democratic),303,Valmikinagar,304,0.16,Danapur
3026,Sikta,Raxaul,Shambhu Sharma,"Log Jan Party - Secular,",374,Valmikinagar,375,0.2,Danapur
3027,Raxaul,Sugauli,DR. SIDHESHWAR PRASAD,Bhartiya Rashtriya Dal,440,0,440,0.24,Danapur
3028,Sugauli,Narkatia,SURAJ DEV RAY,Bhartiya Lokmat Rashtrwadi Party,634,0,634,0.34,Danapur
3029,Narkatia,Harsidhi (S.C),Ganesh Ray,Independent,2265,0,2265,1.22,Danapur
3030,Harsidhi (S.C),Govindganj,RAMESH KUMAR,Independent,500,Valmikinagar,501,0.27,Danapur
3031,Govindganj,Kesaria,Ramji Ray,Independent,456,Valmikinagar,457,0.25,Danapur
3032,Kesaria,Kalyanpur,Shyam Rajak,Independent,1420,Ramnagar,1422,0.77,Danapur
3033,Kalyanpur,Pipra,SURAJ Prasad,Independent,866,0,866,0.47,Danapur
3034,Pipra,Madhuban,Surendra Prasad,Independent,756,0,756,0.41,Danapur
3035,Madhuban,Motihari,Sonu Kumar,Independent,273,Valmikinagar,274,0.15,Danapur
3036,Motihari,Chiraiya,NOTA,None of the Above,2302,Harsidhi (S.C),2315,1.25,Danapur
3037,0,Valmikinagar,NIKHIL ANAND,Bharatiya Janata Party,61151,Kahalgaon,61306,30.86,Maner
3038,Valmikinagar,Ramnagar,BHAI VIRENDRA,Rashtriya Janata Dal,94070,Gopalpur,94223,47.44,Maner
3039,Ramnagar,Narkatiaganj,AJAY KUMAR SINGH,Republican Party of India (Rashtriya),1350,0,1350,0.68,Maner
3040,Narkatiaganj,Bagaha,KRISHNA BHAGWAN SINGH,Samajwadi Janata Dal Democratic,889,Valmikinagar,890,0.45,Maner
3041,Bagaha,Lauriya,CHAUDHARY BRAHM PRAKASH SINGH,Jan Adhikar Party (Loktantrik),847,Valmikinagar,848,0.43,Maner
3042,Lauriya,Nautan,DEVANAND YADAV,Janata Party,857,Valmikinagar,858,0.43,Maner
3043,Nautan,Chanpatia,RANJANA SINGH,Peoples Party of India (Democratic),377,Narkatiaganj,380,0.19,Maner
3044,Chanpatia,Bettiah,RABINDRA KUMAR,Shiv Sena,391,0,391,0.2,Maner
3045,Bettiah,Sikta,RAM SWARUP CHAUHAN,Rashtriya Jansambhavna Party,493,0,493,0.25,Maner
3046,Sikta,Raxaul,SHIV KUMAR SINGH,Bharatiya Momin Front,401,0,401,0.2,Maner
3047,Raxaul,Sugauli,SHOBHA DEVI,Bhartiya Manavta Party,482,Valmikinagar,483,0.24,Maner
3048,Sugauli,Narkatia,SATISH KUMAR,Jai Maha Bharath Party,694,0,694,0.35,Maner
3049,Narkatia,Harsidhi (S.C),KAMESHWAR KUMAR,Independent,3107,Valmikinagar,3108,1.56,Maner
3050,Harsidhi (S.C),Govindganj,KUSH KUMAR,Independent,3025,Sikta,3034,1.53,Maner
3051,Govindganj,Kesaria,JANME JAY KUMAR,Independent,2786,0,2786,1.4,Maner
3052,Kesaria,Kalyanpur,JAVAHAR SINGH,Independent,2862,Valmikinagar,2863,1.44,Maner
3053,Kalyanpur,Pipra,BASANT RAW SATHE,Independent,2015,Narkatiaganj,2018,1.02,Maner
3054,Pipra,Madhuban,RANDHIR KUMAR SHARMA,Independent,1718,0,1718,0.86,Maner
3055,Madhuban,Motihari,RAJ KISHOR SINGH,Independent,560,0,560,0.28,Maner
3056,Motihari,Chiraiya,VIKASH KUMAR,Independent,4020,Bagaha,4024,2.03,Maner
3057,Chiraiya,Dhaka,SHRIKANT NIRALA,Independent,14597,Madhuban,14615,7.36,Maner
3058,Dhaka,Sheohar,SANNU DEVI,Independent,479,0,479,0.24,Maner
3059,Sheohar,Riga,NOTA,None of the Above,1103,Narkatiaganj,1106,0.56,Maner
3060,0,Valmikinagar,ARUN MANJHI,Janata Dal (United),77104,Belhar,77267,36.95,Phulwari
3061,Valmikinagar,Ramnagar,SURENDRA PASWAN,Nationalist Congress Party,1570,Kesaria,1585,0.76,Phulwari
3062,Ramnagar,Narkatiaganj,AMARENDRA KUMAR,Sanyukt Kisan Vikas Party,2104,Bettiah,2112,1.01,Phulwari
3063,Narkatiaganj,Bagaha,KAMLESH KANT CHAUDHARY,Bhartiya Lok Chetna Party,3880,Lauriya,3885,1.86,Phulwari
3064,Bagaha,Lauriya,KUMAR JAINENDRA PRASAD,Bahujan Nyay Dal,1080,Valmikinagar,1081,0.52,Phulwari
3065,Lauriya,Nautan,KUMARI PRATIBHA,All India Majlis-E-Ittehadul Muslimeen,5015,Bagaha,5019,2.4,Phulwari
3066,Nautan,Chanpatia,KAILASH PASWAN,Rashtriya Jagriti Party,968,0,968,0.46,Phulwari
3067,Chanpatia,Bettiah,GAJENDRA MANJHI,Bhartiya Sablog Party,3479,Valmikinagar,3480,1.66,Phulwari
3068,Bettiah,Sikta,GOPAL RAVIDAS,Communist Party of India  (Marxist-Leninist)  (Liberation),90974,Beldaur,91124,43.57,Phulwari
3069,Sikta,Raxaul,DHURI DAS,Peoples Party of India (Democratic),1100,Bagaha,1104,0.53,Phulwari
3070,Raxaul,Sugauli,BACHCHU PASWAN,Bahujan Mukti Party,943,Nautan,949,0.45,Phulwari
3071,Sugauli,Narkatia,MOTI RAM,Ambedkar National Congress,908,Valmikinagar,909,0.43,Phulwari
3072,Narkatia,Harsidhi (S.C),RAVI KUMAR,The Plurals Party,1675,Bagaha,1679,0.8,Phulwari
3073,Harsidhi (S.C),Govindganj,RADHE RAMAN,Bhartiya Dalit Party,658,Narkatiaganj,661,0.32,Phulwari
3074,Govindganj,Kesaria,RAMESHWAR PASWAN,Rashtriya Jansambhavna Party,949,Valmikinagar,950,0.45,Phulwari
3075,Kesaria,Kalyanpur,SHILA DEVI,Loktantrik Samajwadi Party,2281,Ramnagar,2283,1.09,Phulwari
3076,Kalyanpur,Pipra,SHRIRAJ PASWAN,Prabal Bharat Party,1733,0,1733,0.83,Phulwari
3077,Pipra,Madhuban,SATYAM KUMAR  RAJAK,Bharatiya Aam Awam Party,531,Valmikinagar,532,0.25,Phulwari
3078,Madhuban,Motihari,SATYENDRA PASWAN,Jan Adhikar Party (Loktantrik),1764,Narkatiaganj,1767,0.84,Phulwari
3079,Motihari,Chiraiya,AMAR PASWAN,Independent,506,0,506,0.24,Phulwari
3080,Chiraiya,Dhaka,ARJUN PASWAN,Independent,381,0,381,0.18,Phulwari
3081,Dhaka,Sheohar,PRATIMA KUMARI (Sanjay Paswan),Independent,727,Narkatiaganj,730,0.35,Phulwari
3082,Sheohar,Riga,PRATIMA KUMARI (Santosh Kumar),Independent,1143,Valmikinagar,1144,0.55,Phulwari
3083,Riga,Bathnaha,MANOHAR PRAKASH CHAUDHARY,Independent,866,0,866,0.41,Phulwari
3084,Bathnaha,Parihar,LAXMI KUMARI,Independent,2163,0,2163,1.03,Phulwari
3085,Parihar,Sursand,SHANKAR KUMAR,Independent,997,Valmikinagar,998,0.48,Phulwari
3086,Sursand,Bajpatti,NOTA,None of the Above,3229,Kalyanpur,3245,1.55,Phulwari
3087,0,Valmikinagar,JITENDRA KUMAR,Nationalist Congress Party,1341,Nautan,1347,0.69,Masaurhi
3088,Valmikinagar,Ramnagar,NUTAN PASWAN,Janata Dal (United),66337,Warisnagar,66469,33.81,Masaurhi
3089,Ramnagar,Narkatiaganj,PARSHURAM KUMAR,Lok Jan Shakti Party,9669,Harsidhi (S.C),9682,4.93,Masaurhi
3090,Narkatiaganj,Bagaha,RAJ KUMAR RAM,Bahujan Samaj Party,5406,Nautan,5412,2.75,Masaurhi
3091,Bagaha,Lauriya,REKHA DEVI,Rashtriya Janata Dal,98498,Shahpur,98696,50.21,Masaurhi
3092,Lauriya,Nautan,ANIL DAS,Bhartiya Dalit Party,1281,0,1281,0.65,Masaurhi
3093,Nautan,Chanpatia,NARESH MANJHI,Bahujan Mukti Party,576,0,576,0.29,Masaurhi
3094,Chanpatia,Bettiah,RAMASHISH PASWAN,Loktantrik Samajwadi Party,560,0,560,0.28,Masaurhi
3095,Bettiah,Sikta,VIMAL CHANDRA DAS,Peoples Party of India (Democratic),803,Narkatiaganj,806,0.41,Masaurhi
3096,Sikta,Raxaul,SARITA PASWAN,Bhartiya Sablog Party,3014,Ramnagar,3016,1.53,Masaurhi
3097,Raxaul,Sugauli,ANIL KUMAR,Independent,1098,Ramnagar,1100,0.56,Masaurhi
3098,Sugauli,Narkatia,RAMJI RAVIDAS,Independent,1857,0,1857,0.94,Masaurhi
3099,Narkatia,Harsidhi (S.C),SIKANDAR PASWAN,Independent,2184,Valmikinagar,2185,1.11,Masaurhi
3100,Harsidhi (S.C),Govindganj,NOTA,None of the Above,3574,Sikta,3583,1.82,Masaurhi
3101,0,Valmikinagar,Dr. USHA VIDYARTHI,Lok Jan Shakti Party,16024,Kusheshwar Asthan,16102,10.37,Paliganj
3102,Valmikinagar,Ramnagar,JAY VARDHAN YADAV @ BACHCHA YADAV,Janata Dal (United),36870,Warisnagar,37002,23.83,Paliganj
3103,Ramnagar,Narkatiaganj,MADHU MANJARI,Rashtriya Lok Samta Party,5454,Harsidhi (S.C),5467,3.52,Paliganj
3104,Narkatiaganj,Bagaha,DINANATH PANDIT,Lokpriya Samaj Party,1766,Valmikinagar,1767,1.14,Paliganj
3105,Bagaha,Lauriya,NITU DEVI,Nation First Democratic Party,792,Ramnagar,794,0.51,Paliganj
3106,Lauriya,Nautan,FUJALUR RAHAMAN ASARI,Jan Adhikar Party (Loktantrik),1078,Nautan,1084,0.7,Paliganj
3107,Nautan,Chanpatia,MANISH KUMAR,Shiv Sena,404,Narkatiaganj,407,0.26,Paliganj
3108,Chanpatia,Bettiah,Manoj Kumar Upadhyay,Bharatiya Aam Awam Party,345,0,345,0.22,Paliganj
3109,Bettiah,Sikta,RAVINDRA PRASAD,Peoples Party of India (Democratic),370,Valmikinagar,371,0.24,Paliganj
3110,Sikta,Raxaul,RAVISH KUMAR,Bhartiya Sablog Party,1493,Bagaha,1497,0.96,Paliganj
3111,Raxaul,Sugauli,RAJGIR PRASAD,Lok Sewa Dal,663,0,663,0.43,Paliganj
3112,Sugauli,Narkatia,SANT KUMAR SINGH,Shoshit Samaj Dal,1443,0,1443,0.93,Paliganj
3113,Narkatia,Harsidhi (S.C),SANDEEP SAURAV,Communist Party of India  (Marxist-Leninist)  (Liberation),67798,Garkha,67917,43.73,Paliganj
3114,Harsidhi (S.C),Govindganj,HARE KRISNA SINGH,Independent,1177,0,1177,0.76,Paliganj
3115,Govindganj,Kesaria,ANITA DEVI,Independent,1086,0,1086,0.7,Paliganj
3116,Kesaria,Kalyanpur,GOPAL CHAUDHARI,Independent,4440,Bagaha,4444,2.86,Paliganj
3117,Kalyanpur,Pipra,JITENDRA BIND,Independent,1274,0,1274,0.82,Paliganj
3118,Pipra,Madhuban,DHANANJAY KUMAR,Independent,1542,Valmikinagar,1543,0.99,Paliganj
3119,Madhuban,Motihari,BASANT KUMAR,Independent,745,Ramnagar,747,0.48,Paliganj
3120,Motihari,Chiraiya,MAHESH YADAV,Independent,364,0,364,0.23,Paliganj
3121,Chiraiya,Dhaka,RAKESH RANJAN,Independent,884,Ramnagar,886,0.57,Paliganj
3122,Dhaka,Sheohar,VENKATESH SHARMA,Independent,418,Valmikinagar,419,0.27,Paliganj
3123,Sheohar,Riga,SRINIVAS KUMAR,Independent,732,Valmikinagar,733,0.47,Paliganj
3124,Riga,Bathnaha,SANJEET KUMAR,Independent,619,Narkatiaganj,622,0.4,Paliganj
3125,Bathnaha,Parihar,SUNIL KUMAR,Independent,5251,Raxaul,5261,3.39,Paliganj
3126,Parihar,Sursand,NOTA,None of the Above,1876,Lauriya,1881,1.21,Paliganj
3127,0,Valmikinagar,ATUL KUMAR,Bharatiya Janata Party,14232,Chenari,14439,7.99,Bikram
3128,Valmikinagar,Ramnagar,ARUN KUMAR,Bahujan Samaj Party,3350,Harsidhi (S.C),3363,1.86,Bikram
3129,Ramnagar,Narkatiaganj,SIDDHARTH SAURAV,Indian National Congress,86001,Nalanda,86177,47.71,Bikram
3130,Narkatiaganj,Bagaha,CHANDRASHEKHAR YADAV,Jan Adhikar Party,2023,Bagaha,2027,1.12,Bikram
3131,Bagaha,Lauriya,PUNAM DEVI,Satya Bahumat Party,799,Narkatiaganj,802,0.44,Bikram
3132,Lauriya,Nautan,VIKASH KUMAR,Rashtriya Jan Jan Party,704,Chanpatia,711,0.39,Bikram
3133,Nautan,Chanpatia,VISHWNATH PRASAD,Janta Dal Rashtravadi,588,Lauriya,593,0.33,Bikram
3134,Chanpatia,Bettiah,SUNIL KUMAR,Janata Party,1184,Ramnagar,1186,0.66,Bikram
3135,Bettiah,Sikta,ANIL KUMAR,Independent,50611,Ziradei,50717,28.08,Bikram
3136,Sikta,Raxaul,ARVIND KUMAR,Independent,631,Valmikinagar,632,0.35,Bikram
3137,Raxaul,Sugauli,DILIP KUMAR,Independent,565,Valmikinagar,566,0.31,Bikram
3138,Sugauli,Narkatia,NAGENDRA KUMAR,Independent,11216,Chanpatia,11223,6.21,Bikram
3139,Narkatia,Harsidhi (S.C),MANOJ KUMAR,Independent,1169,Valmikinagar,1170,0.65,Bikram
3140,Harsidhi (S.C),Govindganj,Dr. MAMTAMAYI PRIYADARSHINI,Independent,3062,Nautan,3068,1.7,Bikram
3141,Govindganj,Kesaria,SURENDRA YADAV,Independent,2149,Narkatiaganj,2152,1.19,Bikram
3142,Kesaria,Kalyanpur,NOTA,None of the Above,1803,Sugauli,1814,Valmikinagar,Bikram
3143,0,Valmikinagar,KIRAN DEVI,Rashtriya Janata Dal,78576,1023,79599,51.54,Sandesh
3144,Valmikinagar,Ramnagar,VIJAYENDRA YADAV,Janata Dal (United),28467,525,28992,18.77,Sandesh
3145,Ramnagar,Narkatiaganj,SHIV SHANKAR PRASAD,Rashtriya Lok Samta Party,3301,Jokihat,3351,2.17,Sandesh
3146,Narkatiaganj,Bagaha,SHWETA SINGH,Lok Jan Shakti Party,28062,438,28500,18.45,Sandesh
3147,Bagaha,Lauriya,AKHILESHWAR NATH TIWARI,Jan Sangh Party,1216,Govindganj,1230,0.8,Sandesh
3148,Lauriya,Nautan,KAMAL KUMAR SINGH,Voters Party  International,777,Bagaha,781,0.51,Sandesh
3149,Nautan,Chanpatia,KRISHNA PASWAN,Bhartiya Kranti Vir Party,1707,Harsidhi (S.C),1720,1.11,Sandesh
3150,Chanpatia,Bettiah,BABAN KUMAR,Jan Adhikar Party (Loktantrik),2578,Parihar,2603,1.69,Sandesh
3151,Bettiah,Sikta,MANMOHAN SINGH,Rashtrawadi Janlok Party (Satya),1503,Harsidhi (S.C),1516,0.98,Sandesh
3152,Sikta,Raxaul,SANTOSH KUMAR SINGH,Rashtriya Jan Jan Party,1638,Sheohar,1660,1.07,Sandesh
3153,Raxaul,Sugauli,RAMDEO SINGH,Independent,1043,Sugauli,1054,0.68,Sandesh
3154,Sugauli,Narkatia,NOTA,None of the Above,3405,Triveniganj,3449,2.23,Sandesh
3155,0,Valmikinagar,RAGHVENDRA PRATAP SINGH,Bharatiya Janata Party,74981,1201,76182,46.15,Barhara
3156,Valmikinagar,Ramnagar,SAROJ YADAV,Rashtriya Janata Dal,70132,1077,71209,43.13,Barhara
3157,Ramnagar,Narkatiaganj,SIYAMATI RAI,Rashtriya Lok Samta Party,1234,Govindganj,1248,0.76,Barhara
3158,Narkatiaganj,Bagaha,NIMESH SHUKLA,Janmat Party,619,Motihari,638,0.39,Barhara
3159,Bagaha,Lauriya,RAGHUPATI YADAV,Jan Adhikar Party (Loktantrik),1333,Chiraiya,1353,0.82,Barhara
3160,Lauriya,Nautan,RAMTAHAL CHOUDHARY,"Log Jan Party - Secular,",530,Nautan,536,0.32,Barhara
3161,Nautan,Chanpatia,ASHA DEVI,Independent,7063,Hasanpur,7203,4.36,Barhara
3162,Chanpatia,Bettiah,MOHD KALAM KHAN,Independent,552,Bettiah,560,0.34,Barhara
3163,Bettiah,Sikta,GUPTESHWAR DUBEY,Independent,731,Bettiah,739,0.45,Barhara
3164,Sikta,Raxaul,MANJEE KUMAR SHAH,Independent,2622,Harsidhi (S.C),2635,1.6,Barhara
3165,Raxaul,Sugauli,NOTA,None of the Above,2761,Riga,2784,1.69,Barhara
3166,0,Valmikinagar,Amrendra Pratap singh,Bharatiya Janata Party,70355,1426,71781,45.05,Arrah
3167,Valmikinagar,Ramnagar,Praveen Kumar Singh,Rashtriya Lok Samta Party,1126,Babubarhi,1160,0.73,Arrah
3168,Ramnagar,Narkatiaganj,Anil Kumar Singh,Janata Party,699,Pipra,716,0.45,Arrah
3169,Narkatiaganj,Bagaha,Kajal Kumari,Akhand Bhartiya Yuva Party,619,Narkatia,631,0.4,Arrah
3170,Bagaha,Lauriya,Quyamuddin Ansari,Communist Party of India  (Marxist-Leninist)  (Liberation),67250,1529,68779,43.17,Arrah
3171,Lauriya,Nautan,Gorakh Ram,Voters Party  International,1113,Narkatia,1125,0.71,Arrah
3172,Nautan,Chanpatia,Dilip Kumar Singh,Rashtrawadi Janlok Party (Satya),992,Sugauli,1003,0.63,Arrah
3173,Chanpatia,Bettiah,Brajesh Kumar Singh,Jan Adhikar Party (Loktantrik),1185,Madhubani,1221,0.77,Arrah
3174,Bettiah,Sikta,Kumar Ashutosh,Independent,352,Chanpatia,359,0.23,Arrah
3175,Sikta,Raxaul,Chandra Bhanu Gupta,Independent,621,Raxaul,631,0.4,Arrah
3176,Raxaul,Sugauli,Shabana,Independent,689,Sikta,698,0.44,Arrah
3177,Sugauli,Narkatia,Sheodas Singh,Independent,2983,Bettiah,2991,1.88,Arrah
3178,Narkatia,Harsidhi (S.C),Shobhnath Yadav,Independent,444,Harsidhi (S.C),457,0.29,Arrah
3179,Harsidhi (S.C),Govindganj,Sanjay Shekhar Shukla,Independent,604,Lauriya,609,0.38,Arrah
3180,Govindganj,Kesaria,Hakim Prasad,Independent,4280,Benipur,4360,2.74,Arrah
3181,Kesaria,Kalyanpur,NOTA,None of the Above,2752,Banmankhi,2811,1.76,Arrah
3182,0,Valmikinagar,PRABHUNATH PRASAD,Janata Dal (United),37232,545,37777,26.87,Agiaon
3183,Valmikinagar,Ramnagar,MANURAM RATHAUR,Rashtriya Lok Samta Party,1734,Harlakhi,1765,1.26,Agiaon
3184,Ramnagar,Narkatiaganj,RAJESHWAR PASWAN,Lok Jan Shakti Party,4861,Goriakothi,4972,3.54,Agiaon
3185,Narkatiaganj,Bagaha,ASHOK RAM,Jai Maha Bharath Party,581,Chanpatia,588,0.42,Agiaon
3186,Bagaha,Lauriya,INDU DEVI,Bhartiya Party (Loktantrik),1578,Riga,1601,1.14,Agiaon
3187,Lauriya,Nautan,MANOJ MANZIL,Communist Party of India  (Marxist-Leninist)  (Liberation),85397,930,86327,61.39,Agiaon
3188,Nautan,Chanpatia,SURAJ BHAN,Shoshit Samaj Dal,1397,Nautan,1403,Valmikinagar,Agiaon
3189,Chanpatia,Bettiah,AMAR JYOTI,Independent,737,Harsidhi (S.C),750,0.53,Agiaon
3190,Bettiah,Sikta,UPENDRA KUMAR,Independent,759,Lauriya,764,0.54,Agiaon
3191,Sikta,Raxaul,RAJMUNI DEVI,Independent,874,Bettiah,882,0.63,Agiaon
3192,Raxaul,Sugauli,NOTA,None of the Above,3750,Rajnagar,3787,2.69,Agiaon
3193,0,Valmikinagar,Kaushal Kumar Vidyarthi,Bharatiya Janata Party,13536,297,13833,8.14,Tarari
3194,Valmikinagar,Ramnagar,Santosh Singh Chandrawanshi,Rashtriya Lok Samta Party,2253,Parihar,2278,1.34,Tarari
3195,Ramnagar,Narkatiaganj,Suryajeet Kumar Singh,Nationalist Congress Party,1148,Riga,1171,0.69,Tarari
3196,Narkatiaganj,Bagaha,Anil Kumar,Jantantrik Vikas Party,6138,Phulparas,6177,3.64,Tarari
3197,Bagaha,Lauriya,Dinesh Mouar,Voters Party  International,1282,Ramnagar,1284,0.76,Tarari
3198,Lauriya,Nautan,Prakash Kumar,Shoshit Samaj Dal,763,Narkatiaganj,766,0.45,Tarari
3199,Nautan,Chanpatia,Sanjay Rai,Jan Adhikar Party (Loktantrik),1131,Lauriya,1136,0.67,Tarari
3200,Chanpatia,Bettiah,Sudama Prasad S/o Ganga Dayal Sah,Communist Party of India  (Marxist-Leninist)  (Liberation),73021,924,73945,43.53,Tarari
3201,Bettiah,Sikta,Kumari Sanchana,Independent,2183,Harsidhi (S.C),2196,1.29,Tarari
3202,Sikta,Raxaul,Narendra Kumar Pandey @ Sunil Pandey,Independent,62423,507,62930,37.05,Tarari
