,osn,candidate,party,evm_votes,postal_votes,total_votes,percentage_votes,contituencty
17,18,BULINDER D YADAV,Independent,640,1,641,0.42,117
18,19,LAL BABU RAY,Independent,6299,24,6323,4.17,117
19,20,LALU PRASAD YADAV,Independent,817,1,818,0.54,117
20,21,Santosh Kumar Ray,Independent,864,1,865,0.57,117
21,22,SANDEV KUMAR RAY,Independent,467,1,468,0.31,117
22,23,NOTA,None of the Above,1518,7,1525,1.01,117
0,1,DR. C. N. GUPTA,Bharatiya Janata Party,75135,575,75710,44.97,118
1,2,MANOJ MAHATO,Bahujan Samaj Party,2893,16,2909,1.73,118
2,3,RANDHIR KUMAR SINGH,Rashtriya Janata Dal,67913,1026,68939,40.95,118
3,4,DHARMENDRA PANDEY,Rashtriya Manav Sewa Party,958,0,958,0.57,118
4,5,MANORANJAN KUMAR SHRIVASTVA,Pragatisheel Janta Party,278,4,282,0.17,118
5,6,MOHAMMAD SALIM,Bharatiya Momin Front,232,4,236,0.14,118
6,7,UMESHWAR SINGH,Independent,490,8,498,0.3,118
7,8,PARMESHWAR KUMAR,Independent,236,2,238,0.14,118
8,9,BIRENDRA SAH,Independent,1014,8,1022,0.61,118
9,10,MOHAMMAD ASGAR ALI,Independent,367,6,373,0.22,118
10,11,YOGENDRA RAY,Independent,396,3,399,0.24,118
11,12,DR. VIJAYA RANI SINGH,Independent,1157,9,1166,0.69,118
12,13,VINOD KUMAR TIWARI,Independent,710,2,712,0.42,118
13,14,SANJEEV KUMAR SINGH,Independent,3729,15,3744,2.22,118
14,15,SUNIL KUMAR,Independent,6037,25,6062,3.6,118
15,16,SUBHASH RAY,Independent,3190,3,3193,1.9,118
16,17,NOTA,None of the Above,1899,21,1920,1.14,118
0,1,GYANCHAND MANJHI,Bharatiya Janata Party,73128,347,73475,41.59,119
1,2,SABITA DEVI,Bahujan Samaj Party,2241,6,2247,1.27,119
2,3,SURENDRA RAM,Rashtriya Janata Dal,82874,538,83412,47.21,119
3,4,BARUN KUMAR DAS,Peoples Party of India (Democratic),1382,2,1384,0.78,119
4,5,MUNESHWAR CHOUDHARY,Jan Adhikar Party (Loktantrik),4367,52,4419,2.5,119
5,6,SANTOSH MANJHI,Proutist Sarva Samaj,557,0,557,0.32,119
6,7,NIRAJ RAM,Independent,785,3,788,0.45,119
7,8,PUJA KUMARI,Independent,955,4,959,0.54,119
8,9,BIGAN MANJHI,Independent,2874,0,2874,1.63,119
9,10,SHIV PRASAD MANJHI,Independent,2674,7,2681,1.52,119
10,11,NOTA,None of the Above,3863,11,3874,2.19,119
0,1,Krishan Kumar Mantoo,Bharatiya Janata Party,62995,321,63316,42.29,120
1,2,Rahul Kumar,Rashtriya Lok Samta Party,4766,17,4783,3.19,120
2,3,Sunil Kumar,Rashtriya Janata Dal,59171,464,59635,39.83,120
3,4,Nurjaha,Bharatiya Momin Front,911,3,914,0.61,120
4,5,Poonam Rai,Jan Adhikar Party (Loktantrik),438,0,438,0.29,120
5,6,Vir Kunwar Singh,Sarva Samaj Janata Party,194,1,195,0.13,120
6,7,Krishna Mishra,Independent,242,0,242,0.16,120
7,8,Jitendra Kumar Singh,Independent,530,2,532,0.36,120
8,9,Nand Kishor Singh,Independent,1049,3,1052,0.7,120
9,10,Bikash Kumar,Independent,326,1,327,0.22,120
10,11,Ram Pukar Mehata,Independent,1536,2,1538,1.03,120
11,12,Shatrudhan Tiwari,Independent,7438,55,7493,5,120
12,13,Sangeeta Singh,Independent,3909,0,3909,2.61,120
13,14,Sudish Kumar Singh,Independent,1667,1,1668,1.11,120
14,15,NOTA,None of the Above,3667,2,3669,2.45,120
0,1,CHANDRIKA ROY,Janata Dal (United),50799,224,51023,33.13,121
1,2,CHHOTE LAL RAY,Rashtriya Janata Dal,67746,570,68316,44.36,121
2,3,RAKESH KUMAR SINGH,Lok Jan Shakti Party,12137,49,12186,7.91,121
3,4,AKHILESH KUMAR,The Plurals Party,1172,2,1174,0.76,121
4,5,RAMESH KUMAR RAI,Jagrook Janta Party,488,0,488,0.32,121
5,6,SHAILENDRA KUMAR,Jan Adhikar Party (Loktantrik),2353,10,2363,1.53,121
6,7,MAHESH RAY,Independent,4107,12,4119,2.67,121
7,8,MANAGER SINGH,Independent,4541,17,4558,2.96,121
8,9,SANDHYA RAY,Independent,2032,6,2038,1.32,121
9,10,SWAMI JEETENDRA,Independent,2549,1,2550,1.66,121
10,11,NOTA,None of the Above,5172,7,5179,3.36,121
0,1,DHARAMVEER KUMAR,Nationalist Congress Party,1599,4,1603,0.94,122
1,2,DR. RAMANUJ PRASAD,Rashtriya Janata Dal,72804,443,73247,43.11,122
2,3,VINAY KUMAR SINGH,Bharatiya Janata Party,66247,314,66561,39.18,122
3,4,HARISHANKAR KUMAR,Rashtriya Lok Samta Party,1164,4,1168,0.69,122
4,5,ANIL KUMAR SINGH,Samajwadi Janata Dal Democratic,401,2,403,0.24,122
5,6,ASHA KUMARI,The Plurals Party,903,9,912,0.54,122
6,7,RAJEEV RANJAN,Akhand Bhartiya Yuva Party,260,0,260,0.15,122
7,8,SUVODH KUMAR,Sanyukt Vikas Party,313,0,313,0.18,122
8,9,AMOD GOP,Independent,1149,0,1149,0.68,122
9,10,CHANDAN LAL,Independent,8652,15,8667,5.1,122
10,11,PINKI KUMARI PRASAD,Independent,1938,4,1942,1.14,122
11,12,BAIJNATH RAM,Independent,481,4,485,0.29,122
12,13,RAMESH KUMAR,Independent,5524,17,5541,3.26,122
13,14,SUMAN KUMAR,Independent,3051,4,3055,1.8,122
14,15,HEM NARAYAN SINGH,Independent,3042,2,3044,1.79,122
15,16,NOTA,None of the Above,1542,4,1546,0.91,122
0,1,Awadhesh Singh,Bharatiya Janata Party,85351,201,85552,44.55,123
1,2,Kamal Pd Singh,Rashtriya Lok Samta Party,3081,8,3089,1.61,123
2,3,Deo Kumar Chaurasia,Rashtriya Janata Dal,82103,459,82562,42.99,123
3,4,Azim Ansari,Bharatiya Momin Front,872,2,874,0.46,123
4,5,Indradeo Roy,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),262,0,262,0.14,123
5,6,Manish Kumar Singh,Bahujan Nyay Dal,217,2,219,0.11,123
6,7,Yashwant Singh,All India Forward Bloc,704,0,704,0.37,123
7,8,Ramanand Singh,Shoshit Samaj Dal,261,2,263,0.14,123
8,9,Vidya Bhushan,Sapaks Party,303,0,303,0.16,123
9,10,Shiv Ranjan Kumar,Rashtriya Jan Jan Party,534,2,536,0.28,123
10,11,Sadu Bhagat,Rashtriya Jansambhavna Party,864,0,864,0.45,123
11,12,Sunil Ray,Janata Party,633,1,634,0.33,123
12,13,Ajit Kumar,Independent,5211,31,5242,2.73,123
13,14,Kishor Kumar,Independent,2487,0,2487,1.3,123
14,15,Krishna Bhagwan,Independent,1517,2,1519,0.79,123
15,16,Dheeraj Kumar Roy,Independent,3175,5,3180,1.66,123
16,17,Nishant Gandhi,Independent,1625,2,1627,0.85,123
17,18,Santosh Kumar Shukla,Independent,370,1,371,0.19,123
18,19,NOTA,None of the Above,1743,2,1745,0.91,123
0,1,Anand Verma,Nationalist Congress Party,863,8,871,0.45,124
1,2,Dinesh Kumar Kushawha,Rashtriya Lok Samta Party,2260,15,2275,1.19,124
2,3,Rakesh Kumar,Indian National Congress,43958,493,44451,23.17,124
3,4,Raj Kumar Sah,Lok Jan Shakti Party,11239,42,11281,5.88,124
4,5,Sanjay Kumar Singh,Bharatiya Janata Party,70571,179,70750,36.88,124
5,6,Azam Hussain,Satya Bahumat Party,1277,1,1278,0.67,124
6,7,Kumari Sneha,Rashtriya Jansambhavna Party,1470,5,1475,0.77,124
7,8,Dilip Thakur,Jan Adhikar Party (Loktantrik),761,2,763,0.4,124
8,9,Mithilesh Kumar Singh Sathi,Sathi Aur Aapka Faisala Party,482,2,484,0.25,124
9,10,Rajendra Sharma,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),515,2,517,0.27,124
10,11,Ram Pukar Paswan,Ambedkarite Party of India,1577,0,1577,0.82,124
11,12,Akhilesh Kumar,Independent,2571,0,2571,1.34,124
12,13,Kedar Kumar,Independent,1805,2,1807,0.94,124
13,14,Gauri Shankar Pandey,Independent,5765,19,5784,3.02,124
14,15,Purushottam Kumar Singh,Independent,688,2,690,0.36,124
15,16,Manju Singh,Independent,1773,1,1774,0.92,124
16,17,Manoj Kumar,Independent,618,1,619,0.32,124
17,18,Mahesh Kr. Pandit,Independent,752,5,757,0.39,124
18,19,Mithilesh Kumar,Independent,997,0,997,0.52,124
19,20,Rakesh Paswan,Independent,5110,9,5119,2.67,124
20,21,Rajan Kumar,Independent,2588,1,2589,1.35,124
21,22,Rajeev Kumar Choudhary,Independent,1175,4,1179,0.61,124
22,23,Vijay Kumar Shukla,Independent,27277,183,27460,14.32,124
23,24,Shailendra Kumar Kaushik,Independent,1888,3,1891,0.99,124
24,25,Sanjay Kumar,Independent,1565,8,1573,0.82,124
25,26,NOTA,None of the Above,1282,1,1283,0.67,124
0,1,AJAY KUMAR KUSHWAHA,Lok Jan Shakti Party,33269,82,33351,17.18,125
1,2,SANJEEV SINGH,Indian National Congress,61936,431,62367,32.14,125
2,3,SIDDHARTH PATEL,Janata Dal (United),69565,215,69780,35.96,125
3,4,ARUN KUMAR SINGH,Bhartiya Sablog Party,2180,10,2190,1.13,125
4,5,TARUN SINGH ALIAS PINTOO,Janvadi Party(Socialist),2734,1,2735,1.41,125
5,6,NILESH RANJAN,The Plurals Party,764,2,766,0.39,125
6,7,MUHAMAD AWAS,Jagrook Janta Party,404,2,406,0.21,125
7,8,RAM NATH RAY,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),640,4,644,0.33,125
8,9,VINAY PASWAN,Jan Adhikar Party (Loktantrik),890,6,896,0.46,125
9,10,SANJAY KUMAR,Jai Maha Bharath Party,1712,3,1715,0.88,125
10,11,ABHISHEK RAJ,Independent,2858,6,2864,1.48,125
11,12,MITHILESH KUMAR SINGH,Independent,1234,2,1236,0.64,125
12,13,RAJ NARAYAN KUMAR,Independent,4386,0,4386,2.26,125
13,14,SUGANDH KUMAR,Independent,5574,8,5582,2.88,125
14,15,NOTA,None of the Above,5150,5,5155,2.66,125
0,1,ASHMA PARVEEN,Janata Dal (United),48893,0,48893,28.48,126
1,2,MUKESH KUMAR RAUSHAN,Rashtriya Janata Dal,62580,0,62580,36.45,126
2,3,RAVINDRA KUMAR,Rashtriya Lok Samta Party,6335,0,6335,3.69,126
3,4,SANJAY KUMAR SINGH,Lok Jan Shakti Party,25146,0,25146,14.65,126
4,5,JAYNARAYAN SAH,Bajjikanchal Vikas Party,652,0,652,0.38,126
5,6,MD. PARWEZ ALAM,Jan Adhikar Party (Loktantrik),1146,0,1146,0.67,126
6,7,BINOD RAY,Janta Dal Rashtravadi,529,0,529,0.31,126
7,8,BAIDYANATH PRASAD RAY,Bhartiya Rashtriya Dal,1784,0,1784,1.04,126
8,9,RATNESH KUMAR,Right to Recall Party,303,0,303,0.18,126
9,10,RUBI KUMARI,Samta Dal (Pragatisheel),565,0,565,0.33,126
10,11,REYAZ AHMAD,SOCIAL DEMOCRATIC PARTY OF INDIA,999,0,999,0.58,126
11,12,LALIT KUMAR GHOSH,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),901,0,901,0.52,126
12,13,VIKASH KUMAR SHARMA,Apna Kisan Party,1939,0,1939,1.13,126
13,14,SUMAN KUMAR SINHA,Bhartiya Party (Loktantrik),2068,0,2068,1.2,126
14,15,AMRESH KUMAR,Independent,2103,0,2103,1.22,126
15,16,ARCHANA KUMARI JHA,Independent,2526,0,2526,1.47,126
16,17,Er. NITISH KUMAR,Independent,1785,0,1785,1.04,126
17,18,NARENDRA GIRI,Independent,1541,0,1541,0.9,126
18,19,NAVIN KUMAR,Independent,505,0,505,0.29,126
19,20,PURAN THAKUR,Independent,1735,0,1735,1.01,126
20,21,VINOD KUMAR,Independent,4888,0,4888,2.85,126
21,22,SHIV NATH SAHNI,Independent,510,0,510,0.3,126
22,23,SEEMA KUMARI,Independent,671,0,671,0.39,126
23,24,NOTA,None of the Above,1595,0,1595,0.93,126
0,1,Dhananjay Kumar,Lok Jan Shakti Party,24556,133,24689,16.22,127
1,2,Pratima Kumari,Indian National Congress,53690,609,54299,35.67,127
2,3,Pharesh Ram,Bahujan Samaj Party,2474,8,2482,1.63,127
3,4,Mahendra Ram,Janata Dal (United),52193,310,52503,34.49,127
4,5,Ashok Kumar Mallik,Jan Adhikar Party (Loktantrik),1516,2,1518,1,127
5,6,Umesh Ram,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),405,1,406,0.27,127
6,7,Kanhai Pankaj,Ambedkarite Party of India,960,2,962,0.63,127
7,8,Er. Rajkumar Paswan,Yuva Bihar Sena,476,3,479,0.31,127
8,9,Ramji Bhakata,Janta Dal Rashtravadi,605,0,605,0.4,127
9,10,Savita Devi,Rashtriya Jansambhavna Party,643,1,644,0.42,127
10,11,Amar Paswan,Independent,1470,4,1474,0.97,127
11,12,Prema Devi,Independent,2585,4,2589,1.7,127
12,13,Bedami Devi,Independent,1769,1,1770,1.16,127
13,14,Manohar Kumar,Independent,3854,13,3867,2.54,127
14,15,NOTA,None of the Above,3918,10,3928,2.58,127
0,1,TEJASHWI PRASAD YADAV,Rashtriya Janata Dal,96786,618,97404,48.74,128
1,2,RAKESH RAUSHAN,Lok Jan Shakti Party,24850,97,24947,12.48,128
2,3,SATISH KUMAR,Bharatiya Janata Party,58966,264,59230,29.64,128
3,4,KUMAR SAMEER RAJA YADAV,Jan Adhikar Party (Loktantrik),3406,7,3413,1.71,128
4,5,JAYMALA DEVI,Shiv Sena,324,0,324,0.16,128
5,6,PARAMHANS SINGH URF PARAMHANS KUMAR SINGH,Aam Jan Party (Secular),222,1,223,0.11,128
6,7,RAJESH RAUSHAN,Bahujan Mukti Party,443,6,449,0.22,128
7,8,ARUN RAY,Independent,304,1,305,0.15,128
8,9,NATHU BHAGAT,Independent,350,1,351,0.18,128
9,10,MADHUSUDHAN PASWAN,Independent,406,1,407,0.2,128
10,11,MEGHNATH PASWAN,Independent,557,0,557,0.28,128
11,12,RAJU KUMAR,Independent,1632,0,1632,0.82,128
12,13,RAJESHWAR RAY,Independent,3481,0,3481,1.74,128
13,14,Ramswaroop Ray,Independent,2672,0,2672,1.34,128
14,15,NOTA,None of the Above,4453,5,4458,2.23,128
0,1,UMESH SINGH KUSHWAHA,Janata Dal (United),53580,194,53774,32.54,129
1,2,TRIVENI KUMAR CHOUDHARY,Rashtriya Lok Samta Party,2533,14,2547,1.54,129
2,3,RABINDRA KR. SINGH,Lok Jan Shakti Party,31256,59,31315,18.95,129
3,4,BINA SINGH,Rashtriya Janata Dal,61361,360,61721,37.34,129
4,5,ANNPURNA SINGH,Bhartiya Sablog Party,1460,3,1463,0.89,129
5,6,ARJUN DAS,Bahujan Mukti Party,879,3,882,0.53,129
6,7,BRAJESH KUMAR RAY,Janta Dal Rashtravadi,701,2,703,0.43,129
7,8,MALAYAM KUMAR MANGLAM,Loktantrik Janta Dal,751,0,751,0.45,129
8,9,RAGHUPATI SINGH,Jan Adhikar Party (Loktantrik),1501,6,1507,0.91,129
9,10,RAJNISH PASWAN,The Plurals Party,941,8,949,0.57,129
10,11,SHYAM BABU SINGH,Sathi Aur Aapka Faisala Party,1960,0,1960,1.19,129
11,12,HARERAM KUMAR,Janshakti Vikas Party (Democratic),1839,1,1840,1.11,129
12,13,KARUNA VERMA,Independent,1379,2,1381,0.84,129
13,14,NOTA,None of the Above,4474,7,4481,2.71,129
0,1,DEVLAL RAM,Bahujan Samaj Party,1908,0,1908,1.15,130
1,2,LAKHENDRA KUMAR RAUSHAN,Bharatiya Janata Party,86447,62,86509,52.15,130
2,3,SHASHI KUMAR,Nationalist Congress Party,1760,1,1761,1.06,130
3,4,SHIV CHANDRA RAM,Rashtriya Janata Dal,60489,181,60670,36.57,130
4,5,ANIL PASWAN,Jan Adhikar Party (Loktantrik),876,2,878,0.53,130
5,6,AWANISH,Bahujan Mukti Party,402,2,404,0.24,130
6,7,DHARMENDRA PASWAN,Bharatiya Momin Front,284,0,284,0.17,130
7,8,SHIVJEE RAJAK,The Plurals Party,576,0,576,0.35,130
8,9,SONELAL PASWAN,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),490,0,490,0.3,130
9,10,ANIL KUMAR,Independent,567,0,567,0.34,130
10,11,BINDSHWAR RAM,Independent,868,0,868,0.52,130
11,12,SANJAY RAJAK,Independent,2337,0,2337,1.41,130
12,13,SANJAY RAM,Independent,2857,1,2858,1.72,130
13,14,SURENDRA KUMAR PASWAN,Independent,3237,0,3237,1.95,130
14,15,NOTA,None of the Above,2533,0,2533,1.53,130
0,1,A MONA PRASAD SUNDESHWAR RAM,Lok Jan Shakti Party,23140,23,23163,12.32,131
1,2,MAMTA KUMARI,Bahujan Samaj Party,1620,5,1625,0.86,131
2,3,MAHESHWAR HAZARI,Janata Dal (United),72237,42,72279,38.46,131
3,4,Anamika,"Aam Janmat Party,",3719,4,3723,1.98,131
4,5,UMESH DAS,Rashtriya Jan Vikas Party,4327,2,4329,2.3,131
5,6,PRAMILA DEVI,Bhartiya Sablog Party,2019,0,2019,1.07,131
6,7,MANTESH KUMAR,Jan Adhikar Party (Loktantrik),1959,2,1961,1.04,131
7,8,RANJEET KUMAR RAM,Communist Party of India  (Marxist-Leninist)  (Liberation),61908,120,62028,33,131
8,9,SHATRUDHAN PASWAN,Shiv Sena,3302,1,3303,1.76,131
9,10,SANJAY DAS,Yuva Krantikari Party,3875,0,3875,2.06,131
10,11,SHIV NATH SHARAN,Independent,2732,2,2734,1.45,131
11,12,NOTA,None of the Above,6899,0,6899,3.67,131
0,1,Ashok Kumar,Janata Dal (United),68229,127,68356,35.97,132
1,2,Urmila Sinha,Lok Jan Shakti Party,23870,58,23928,12.59,132
2,3,B. K. Singh,Rashtriya Lok Samta Party,7910,22,7932,4.17,132
3,4,Allama Shibli Nomani Hashmi,Janata Party,1307,0,1307,0.69,132
4,5,Upendra Sharama,Rashtriya Jan Jan Party,1371,5,1376,0.72,132
5,6,Kriti King,The Plurals Party,1951,4,1955,1.03,132
6,7,Dinesh Kumar Ray,Bhartiya Lokmat Rashtrwadi Party,787,1,788,0.41,132
7,8,Md. Naushad,Jan Adhikar Party (Loktantrik),3522,5,3527,1.86,132
8,9,Phoolbabu Singh,Communist Party of India  (Marxist-Leninist)  (Liberation),54316,239,54555,28.71,132
9,10,Ram Kumar Sahani,Samajwadi Janata Dal Democratic,1374,5,1379,0.73,132
10,11,Vinay Kumar,Bhartiya Sablog Party,1769,3,1772,0.93,132
11,12,Archana Rani,Independent,1129,2,1131,0.6,132
12,13,Abhinav Raj,Independent,1505,0,1505,0.79,132
13,14,Ashok Ray,Independent,1493,0,1493,0.79,132
14,15,Tanveer Ahmad,Independent,3044,0,3044,1.6,132
15,16,Dilep Roy,Independent,5463,2,5465,2.88,132
16,17,Ramesh Kumar Ray,Independent,3802,3,3805,2,132
17,18,Ramchandra Mahto,Independent,1650,0,1650,0.87,132
18,19,Ram Pukar Thakur,Independent,950,0,950,0.5,132
19,20,Suraj Kumar,Independent,1478,2,1480,0.78,132
20,21,NOTA,None of the Above,2628,4,2632,1.39,132
0,1,Akhtarul Islam Shahin,Rashtriya Janata Dal,68299,208,68507,41.21,133
1,2,Ashwamedh Devi,Janata Dal (United),63711,82,63793,38.37,133
2,3,Mahendra Pradhan,Lok Jan Shakti Party,12064,10,12074,7.26,133
3,4,Sirovan Kumar,Bahujan Samaj Party,728,2,730,0.44,133
4,5,Arvind Kumar,Rashtriya Jan Vikas Party,584,3,587,0.35,133
5,6,Rishikesh Kumar,Bhartiya Sablog Party,342,0,342,0.21,133
6,7,Kanhaiya Kumar,Wazib Adhikar Party,331,0,331,0.2,133
7,8,Kundan Kumar,Shiv Sena,229,1,230,0.14,133
8,9,Premjit Kumar,Aadarsh Mithila Party,530,0,530,0.32,133
9,10,Ranju Devi,Yuva Krantikari Party,246,0,246,0.15,133
10,11,Rajesh Kumar,Bhartiya Lokmat Rashtrwadi Party,261,0,261,0.16,133
11,12,Vinay Kumar Parsad,The Plurals Party,664,1,665,0.4,133
12,13,Saroj Kumar Jha,"Bhartiya Garibmazdoor Party,",447,1,448,0.27,133
13,14,Subodh Kumar Prasad alias Subodh Prasad Sah,"Yug Kranti Dal,",1370,0,1370,0.82,133
14,15,Haroon Gauhar,Janata Party,2673,0,2673,1.61,133
15,16,Avinash Kumar,Independent,4051,2,4053,2.44,133
16,17,Nitesh Kumar Sinha,Independent,2120,0,2120,1.28,133
17,18,Mahindra Ray,Independent,1368,0,1368,0.82,133
18,19,Mahendra Mahto,Independent,859,0,859,0.52,133
19,20,Murari Kumar Singh,Independent,352,0,352,0.21,133
20,21,Ranjan Kishore Sharma,Independent,423,0,423,0.25,133
21,22,Rajeev Ranjan,Independent,367,0,367,0.22,133
22,23,Ramnath Prasad,Independent,540,0,540,0.32,133
23,24,Bishnudev Ram,Independent,195,1,196,0.12,133
24,25,Shiv Kishor Jha,Independent,457,0,457,0.27,133
25,26,Shyam Nandan Prasad,Independent,881,0,881,0.53,133
26,27,NOTA,None of the Above,1835,2,1837,1.11,133
0,1,Alok Kumar Mehta,Rashtriya Janata Dal,90232,369,90601,48.81,134
1,2,Prashant Kumar Pankaj,Rashtriya Lok Samta Party,4329,16,4345,2.34,134
2,3,Sheel Kumar Roy,Bharatiya Janata Party,67222,111,67333,36.27,134
3,4,Santosh Ray,Nationalist Congress Party,1330,2,1332,0.72,134
4,5,Ajay Kumar Jha,Rashtra Sewa Dal,457,2,459,0.25,134
5,6,Md. Kalam,Jantantrik Lokhit Party,461,1,462,0.25,134
6,7,Dilip Kumar Sahani,Lok Shakti Party (Loktantrik),265,0,265,0.14,134
7,8,Pankaj Kumar,Rashtriya Jan Vikas Party,461,0,461,0.25,134
8,9,Prashant Kumar Sonu,"Log Jan Party - Secular,",435,3,438,0.24,134
9,10,Ram Kishor Mahto,Bhartiya Mahasangh Party,289,0,289,0.16,134
10,11,Vineet Kumar,The Plurals Party,593,6,599,0.32,134
11,12,Vinod Kumar Ray,Sathi Aur Aapka Faisala Party,610,1,611,0.33,134
12,13,Baidya Nath Choudhary,Rashtriya Jan Jan Party,1826,2,1828,0.98,134
13,14,Md. Afaque  Ahmad,Independent,2506,0,2506,1.35,134
14,15,Upendra Poddar,Independent,1142,2,1144,0.62,134
15,16,Dinesh Prashad Choudhary,Independent,4575,0,4575,2.46,134
16,17,Nawal Paswan,Independent,4754,5,4759,2.56,134
17,18,Ram Pravesh Ray,Independent,389,1,390,0.21,134
18,19,Vidya Shankar Ray,Independent,1105,1,1106,0.6,134
19,20,Sataya naryan Singh,Independent,1174,0,1174,0.63,134
20,21,NOTA,None of the Above,954,2,956,0.51,134
0,1,ABHAY KUMAR SINGH,Lok Jan Shakti Party,23854,30,23884,14.86,135
1,2,KUMAR ANANT,Rashtriya Lok Samta Party,2480,2,2482,1.54,135
2,3,RANVIJAY SAHU,Rashtriya Janata Dal,59378,176,59554,37.06,135
3,4,VIDYA SAGAR SINGH NISHAD,Janata Dal (United),48828,55,48883,30.42,135
4,5,AMAR KUMAR JHA,Janata Party,1033,3,1036,0.64,135
5,6,MD. IRSHAD,"Bhartiya Garibmazdoor Party,",391,0,391,0.24,135
6,7,UMASHANKAR THAKUR,The Plurals Party,1951,4,1955,1.22,135
7,8,GAUTAM KUMAR,Rashtriya Jan Jan Party,890,0,890,0.55,135
8,9,DILIP KUMAR RAY,Janata Dal  (Secular),574,0,574,0.36,135
9,10,NAVIN SAH,Aam Adhikar Morcha,939,0,939,0.58,135
10,11,MANISH KUMAR,Shiv Sena,464,2,466,0.29,135
11,12,RAM PRAVESH SAHNI,Rashtriya mahan Gantantra Party,946,0,946,0.59,135
12,13,RAMESHWAR RAY,"Log Jan Party - Secular,",2436,2,2438,1.52,135
13,14,RASHMANI KUMAR RAY,Rashtriya Janshakti Party (Secular),2966,1,2967,1.85,135
14,15,SURYANARAYAN SAHNI,Jan Adhikar Party (Loktantrik),1792,1,1793,1.12,135
15,16,JAY KRISHN RAY,Independent,6371,8,6379,3.97,135
16,17,PRANAV KUMAR,Independent,1581,0,1581,0.98,135
17,18,FULENDRA THAKUR,Independent,411,0,411,0.26,135
18,19,MANISH KUMAR MISHRA,Independent,1399,1,1400,0.87,135
19,20,NOTA,None of the Above,1747,0,1747,1.09,135
0,1,ANITA KUMARI,Rashtriya Lok Samta Party,2654,3,2657,1.55,136
1,2,ARBIND KUMAR SAHNI,Rashtriya Janata Dal,68801,241,69042,40.36,136
2,3,ABHASH KUMAR JHA,Lok Jan Shakti Party,11209,15,11224,6.56,136
3,4,VIJAY KUMAR CHOUDHARY,Janata Dal (United),72523,143,72666,42.48,136
4,5,ANIL PURI,Sanyukt Kisan Vikas Party,1514,0,1514,0.89,136
5,6,AMIT KUMAR JHA,Sapaks Party,726,0,726,0.42,136
6,7,NAVIN KUMAR,The Plurals Party,670,2,672,0.39,136
7,8,PUSHPA KUMARI,Shiv Sena,876,1,877,0.51,136
8,9,BULBUL KUMAR SAHNI,Aam Adhikar Morcha,2885,0,2885,1.69,136
9,10,RAM KISHOR CHOUDHARY,Bhartiya Sablog Party,2297,1,2298,1.34,136
10,11,NIKKI JHA,Independent,2289,0,2289,1.34,136
11,12,NOTA,None of the Above,4199,1,4200,2.46,136
0,1,EJYA YADAV,Rashtriya Janata Dal,55107,164,55271,37.31,137
1,2,RAJESH KUMAR SINGH,Bharatiya Janata Party,70302,83,70385,47.51,137
2,3,AJAY KUMAR BULGANIN,Jan Adhikar Party (Loktantrik),5746,6,5752,3.88,137
3,4,ARUN KUMAR RAY,Rashtriya Janshakti Party (Secular),307,0,307,0.21,137
4,5,USHA KIRAN,Janata Party,274,0,274,0.18,137
5,6,GYANESHWAR SINGH,Yuva Krantikari Party,170,0,170,0.11,137
6,7,BHUSHAN PRASAD RAY,Janta Dal Rashtravadi,330,0,330,0.22,137
7,8,RANDHIR BHAI,Rashtrawadi Janlok Party (Satya),489,0,489,0.33,137
8,9,RAJGIR KUMAR ROY,"Bhartiya Garibmazdoor Party,",238,0,238,0.16,137
9,10,RAM NIVAS RAY,Samajwadi Janata Dal Democratic,316,2,318,0.21,137
10,11,RAM MOHAN RAY,Rashtriya Jan Jan Party,418,0,418,0.28,137
11,12,VIRENDRA KUMAR AJAY,Bahujan Mukti Party,956,0,956,0.65,137
12,13,SUBODH KUMAR SINGH,Bhartiya Sablog Party,577,1,578,0.39,137
13,14,ARUN KUMAR SINGH,Independent,3254,1,3255,2.2,137
14,15,DINAKAR PRASAD YADAV,Independent,2567,0,2567,1.73,137
15,16,NAGENDRA SINGH,Independent,2938,0,2938,1.98,137
16,17,MAHENDRA RAY,Independent,1651,1,1652,1.12,137
17,18,VISHWA NATH SAH,Independent,1100,0,1100,0.74,137
18,19,SUDHIR KUMAR RAY,Independent,611,0,611,0.41,137
19,20,NOTA,None of the Above,546,0,546,0.37,137
0,1,Ajay Kumar,Communist Party of India  (Marxist),73580,242,73822,45,138
1,2,CHANDRA BALI THAKUR,Lok Jan Shakti Party,28728,83,28811,17.56,138
2,3,MAMTA KUMARI,Bahujan Samaj Party,1888,5,1893,1.15,138
3,4,Ram Balak Singh,Janata Dal (United),33211,115,33326,20.31,138
4,5,Arun Kumar Ray,Bhartiya Mahasangh Party,1370,2,1372,0.84,138
5,6,Prabhu Narayan Jha,The Plurals Party,549,3,552,0.34,138
6,7,Vijay Kumar Choudhary,Rashtriya Jan Jan Party,1454,5,1459,0.89,138
7,8,Vivekanand Kumar,Bahujan Mukti Party,563,0,563,0.34,138
8,9,Sushant Kumar,"Log Jan Party - Secular,",503,4,507,0.31,138
