,osn,candidate,party,evm_votes,postal_votes,total_votes,percentage_votes,contituencty
5,6,Kameshwar Thakur,Bahujan Mukti Party,641,11,652,0.45,214
6,7,Krishna Kishore,Janata Dal  (Secular),940,5,945,0.65,214
7,8,Maha Nand Singh,Communist Party of India  (Marxist-Leninist)  (Liberation),67524,762,68286,47.18,214
8,9,Mohan Kumar,Janata Party,2588,6,2594,1.79,214
9,10,Vimala Kumari,Bhartiya Sablog Party,1316,21,1337,0.92,214
10,11,Vimlesh Kumar,Pragatisheel Magahi Samaj,461,5,466,0.32,214
11,12,Md Shabbir Alam,Bahujan Lok Dal,359,4,363,0.25,214
12,13,Sanjay Kumar,Akhil Hind Forward Bloc (Krantikari),633,3,636,0.44,214
13,14,Sikandar  Kumar,Jagrook Janta Party,907,4,911,0.63,214
14,15,Subhash Sharma,Apna Kisan Party,784,8,792,0.55,214
15,16,Ajay Kumar,Independent,2339,3,2342,1.62,214
16,17,Anita Kumari,Independent,1493,5,1498,1.03,214
17,18,Kumar Gaurav,Independent,262,1,263,0.18,214
18,19,Gorakh Rajwar,Independent,530,0,530,0.37,214
19,20,Bhim Paswan,Independent,441,3,444,0.31,214
20,21,Vikash Kumar,Independent,260,0,260,0.18,214
21,22,Shashi Bhushan Sinha,Independent,240,0,240,0.17,214
22,23,Shah Imran Ahmad,Independent,807,5,812,0.56,214
23,24,NOTA,None of the Above,2357,15,2372,1.64,214
0,1,PAPPU KUMAR VERMA,Rashtriya Lok Samta Party,16107,51,16158,11.78,215
1,2,BAGI KUMAR VERMA,Rashtriya Janata Dal,53773,454,54227,39.54,215
2,3,BHUWNESHWAR PATHAK,Lok Jan Shakti Party,20414,95,20509,14.95,215
3,4,SHAFIQUL RAHMAN,Nationalist Congress Party,749,3,752,0.55,215
4,5,SATYADEO SINGH,Janata Dal (United),26231,186,26417,19.26,215
5,6,ALOK KUMAR,Jagrook Janta Party,433,1,434,0.32,215
6,7,JAMALUDIN ANSARI,Jan Adhikar Party (Loktantrik),2065,14,2079,1.52,215
7,8,RAJENDRA YADAV,Loktantrik Janta Dal,1386,6,1392,1.01,215
8,9,RUPESH KUMAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),478,0,478,0.35,215
9,10,SUCHITRA SINHA,Bhartiya Sablog Party,1563,11,1574,1.15,215
10,11,SUNIL KUMAR,Peoples Party of India (Democratic),473,4,477,0.35,215
11,12,SUBHASH SAW,Rashtriya Samajhit Dal,1080,2,1082,0.79,215
12,13,AJAY KUMAR,Independent,1612,4,1616,1.18,215
13,14,MD ABDULLAH JAMAL MALIK,Independent,1496,3,1499,1.09,215
14,15,DEEPAK KUMAR,Independent,1289,2,1291,0.94,215
15,16,RAMPRAVESH YADAV,Independent,1671,6,1677,1.22,215
16,17,VINOD SHARMA,Independent,770,1,771,0.56,215
17,18,SANTOSH KUMAR SINGH,Independent,2790,12,2802,2.04,215
